Track:,PokeRap,Pokemon,Pokemon 2ba Master,1999,3,5,pokerap.mp3
Track:,ARE WE STILL FRIENDS?,Tyler the Creator,IGOR,2019,4,4.2,friends.mp3
Track:,Always,Daniel Caesar,NEVER  ENOUGH,2023,4,3.8,always.mp3
Track:,Piano Man,Billy Joel,Piano Man,1973,5,5,piano.mp3
Track:,Vienna,Billy Joel,The Stranger,1977,3,4.7,vienna.mp3
Track:,the way things go,beabadoobee,the way things go,2023,3,4.1,twtg.mp3
Track:,Song of Storms,Koji Kondo,The Legend of Zelda: Ocarina of Time,1998,1,4.8,songofstorms.mp3
Track:,Everywhere Everything,Noah Kahan,Stick Season,2022,4,4.3,ee.mp3
Track:,Holy Grail,JAY-Z (ft. Justin Timberlake), Magna Carta Holy Grail,2013,5,3.7,holygrail.mp3
Track:,Iris,The Goo Goo Dolls,Dizzy up the Girl,1998,5,4.5,iris.mp3
AudioBook:, The Chronicles of Time, John Historian,2020,220,720,60,
AudioBook:, Mysteries Unfold, Mystic Writer,2019,219,600,207,
AudioBook:, Echoes of Eternity, Echo Author,2021,221,450,56,
AudioBook:, Tales of the Unknown, Unknown Scribe,2018,218,500,130,
AudioBook:, The Final Chapter, Final Narrator,2022,222,800,3,
Podcast:, Tech Talk Weekly, Tech Savvy,2024,45,9,,
Podcast:, True Crime Stories, Crime Buff,2023,60,8,,
Podcast:, The Daily Update, Daily Reporter,2024,30,7,,
Podcast:, History Revisited, History Expert,2022,50,8,,
Podcast:, Comedy Hour, Funny Bones,2021,55,9,,
